Barcode:,,,Date:,Time:
051103948,,,07/09/2014,23:40
051103948,,,07/09/2014,23:40
051104279,,,07/09/2014,23:40
51104279,,,07/09/2014,23:40
051103600,,,07/09/2014,23:40
051103619,,,07/09/2014,23:40
